rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.437581,0.250509,0.514844,0.522948,0.505413,0.467406,0.634353,0.364011,0.480055,0.381311,0.436707,0.546281,0.601864,0.822907,1.25863,1.20102,0.820999,4.03873
0.462458,0.332913,0.466933,0.3614,0.451364,0.546243,0.399758,0.285798,0.341447,0.335454,0.278299,0.323997,0.238949,0.319087,0.32382,1.47731,0.443303,2.36172
0.482602,0.256077,0.672479,0.546489,0.578659,0.730501,0.52684,0.443649,0.456409,0.341609,0.490014,0.580199,0.463816,0.497833,0.674183,3.54947,0.533003,5.0801
0.480956,0.42173,0.730403,0.892005,0.743941,0.684907,0.761411,0.591657,0.742174,0.580404,0.711782,0.813345,0.555402,0.764746,0.979747,2.90922,0.689671,6.18622
0.228571,0.190219,0.377794,0.335044,0.441223,0.297961,0.390468,0.336784,0.180529,0.375424,0.289821,0.3473,0.499115,0.319316,0.544054,1.93052,0.54568,3.40633
0.270177,0.20343,0.312251,0.381246,0.285168,0.315332,0.270786,0.233115,0.222,0.30757,0.227637,0.299973,0.182414,0.29291,0.270161,1.04799,0.243799,1.7972
0.123947,0.110187,0.169365,0.17339,0.148331,0.151802,0.130014,0.0887765,0.102228,0.168885,0.102221,0.133243,0.170401,0.26899,0.215405,0.490355,0.220481,1.05164
0.579498,0.457821,0.710069,0.813404,1.01426,1.04055,0.857203,0.54114,0.562068,0.923388,0.692542,0.990479,0.637517,1.03482,0.936627,3.39833,0.697361,3.58497
0.196643,0.180331,0.255511,0.351801,0.233901,0.304047,0.264451,0.257259,0.223305,0.284865,0.16674,0.275823,0.236002,0.375422,0.335449,0.750579,0.153657,2.05788
0.471013,0.40245,0.703122,0.676747,0.616549,0.560333,0.537154,0.408973,0.334192,0.393656,0.231702,0.592936,0.449394,0.492778,0.557377,0.75362,0.261321,3.28627
0.0907744,0.122499,0.153373,0.208975,0.164129,0.170001,0.183841,0.126965,0.116991,0.151479,0.119872,0.182786,0.132589,0.172744,0.210971,0.477292,0.107982,0.769682
0.247711,0.221055,0.325995,0.457757,0.342633,0.276645,0.332388,0.294777,0.203817,0.254762,0.160058,0.325284,0.236397,0.355726,0.223956,0.95831,0.215891,1.4251
0.48718,0.523232,0.872108,0.86817,0.800709,0.795352,0.700566,0.590696,0.582496,0.868468,0.576738,0.778588,0.714639,1.67129,0.624297,2.41585,0.782113,3.20856
0.0889429,0.0744782,0.125482,0.133881,0.14155,0.0976534,0.122809,0.102126,0.0682555,0.138498,0.0753197,0.163471,0.104893,0.201858,0.141465,0.598384,0.122223,2.12815
0.193655,0.230166,0.226704,0.405606,0.214457,0.32919,0.304596,0.184916,0.243574,0.258966,0.284141,0.38176,0.398505,0.873891,0.92699,2.64655,0.534773,3.15275
0.244914,0.185135,0.307128,0.316747,0.364925,0.290779,0.336185,0.189805,0.228244,0.352528,0.226591,0.245299,0.369602,0.554976,0.452693,1.28547,0.26427,3.2
0.20386,0.0864387,0.233586,0.290055,0.252808,0.152975,0.213959,0.19506,0.107793,0.193198,0.198777,0.2149,0.173088,0.296674,0.24174,1.16416,0.142562,2.2689
0.532446,0.464486,0.629666,0.698859,0.572956,0.49878,0.538431,0.427084,0.554356,0.464627,0.613844,0.789455,0.325587,0.830141,1.06563,1.80961,0.376105,4.14374
0.182233,0.190169,0.252613,0.320431,0.243311,0.260314,0.253442,0.191683,0.16249,0.217967,0.173744,0.202061,0.253074,0.327317,0.477047,0.988925,0.131246,2.90021
0.432511,0.617676,0.558074,1.04455,0.625666,0.721354,0.791442,0.330303,0.320094,0.570315,0.366703,0.518183,0.401075,0.590396,0.737737,1.79037,0.768516,2.22092
0.222521,0.194404,0.36059,0.433071,0.294962,0.292907,0.332754,0.216836,0.242387,0.264748,0.192605,0.344986,0.181012,0.344154,0.886782,1.48291,0.308799,2.81792
0.295854,0.332729,0.396123,0.473893,0.458337,0.535106,0.363828,0.323304,0.33144,0.430693,0.437378,0.537009,0.33527,0.450461,0.473947,2.05761,0.483012,3.37748
0.299765,0.218329,0.328579,0.467351,0.43236,0.428263,0.36224,0.253928,0.238911,0.492872,0.286514,0.351465,0.385192,0.494988,0.635388,1.01264,0.239836,3.45113
