rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014
-0.366637,-0.50982,-0.796371,-0.0992859,0.0909777,-0.120325,-0.493776,-0.316141,-0.15882,-0.475967,-0.114447,-0.494962,-0.336231,-0.134959,0.25142,0.51292,1.75858,0.243036,1.45738
-0.582941,-0.731899,-0.813137,0.00615941,0.307635,-0.0145396,-0.240806,-0.158917,-0.384008,-0.657951,-0.0762457,-0.28314,0.0464699,-0.18291,0.607795,0.0527307,1.46753,0.362277,1.28278
-0.43793,-0.222046,-0.399721,0.118022,0.0681516,0.0915069,-0.0328021,0.0271124,-0.172534,-0.396483,-0.149972,-0.479457,0.00949003,-0.355669,0.0630063,-0.0173888,1.06956,-0.127587,1.3035
-0.429699,-0.611049,-0.966904,0.0487024,0.113429,0.110729,-0.204313,-0.0211732,-0.505268,-0.642763,-0.305284,-0.0372873,-0.00442766,0.0857391,0.242715,0.656129,1.47331,-0.338928,1.29385
-0.532329,-0.635277,-0.755061,-0.157705,-0.31323,0.115291,-0.192854,-0.0645123,-0.304755,-0.446532,-0.0120306,-0.123013,0.197016,0.0835479,0.326636,0.482743,0.676178,-0.203192,1.79041
-0.312335,-0.358961,-0.683982,-0.0847254,0.222716,0.131938,0.17212,0.127604,-0.271267,-0.286411,-0.244251,-0.289622,-0.140087,-0.172581,-0.161849,-0.043609,1.65545,-0.454651,1.21726
-0.432863,-0.598868,-0.625175,0.143045,0.119908,0.0626754,-0.0722148,0.136001,-0.405652,-0.904962,-0.0285518,-0.516304,-0.212107,0.250759,0.173471,0.519336,0.876947,-0.65259,2.23901
-0.642638,-0.37085,-0.602684,-0.142628,-0.0387057,-0.0368909,-0.136882,-0.49858,-0.533906,-0.412466,-0.354946,-0.213009,-0.135254,-0.250755,0.0708438,0.471418,1.29664,0.00216927,2.53815
-0.290647,-0.515621,-0.0752248,0.0353248,0.162841,-0.0540792,-0.0202989,-0.130435,-0.281172,-0.724597,-0.0254721,-0.215104,-0.046013,-0.203762,0.141453,0.173894,1.32841,-0.712302,1.5064
-0.368557,-0.236336,-0.286957,-0.0832771,0.116665,-0.162857,0.0643165,-0.0589221,-0.189941,-0.833915,-0.0223626,-0.287619,-0.586403,-0.295744,0.00906831,0.458944,0.967867,-0.325322,2.15996
-0.738971,-0.303811,-0.861576,-0.141209,-0.125591,-0.159697,-0.237875,0.067533,-0.487887,-0.211172,-0.441457,-0.305811,-0.0819383,0.0149594,0.327771,0.752708,0.70585,0.325449,1.91861
-0.518225,0.0950791,-0.233596,0.10471,-0.151491,0.0707968,0.261587,-0.0506161,-0.386192,-0.208283,-0.225992,-0.412779,-0.260741,-0.565228,-0.276014,-0.26129,1.2565,0.0527774,1.72567
-0.325349,-0.256647,-0.89036,0.0751315,-0.132326,-0.0751254,0.157892,-0.168943,-0.340806,-0.31245,-0.602173,-0.241405,-0.0724677,-0.296351,-0.225574,0.0776628,1.73871,-0.157312,2.09725
-0.517595,-0.523078,-0.654489,-0.105257,0.0946173,-0.0868926,-0.169571,-0.0636813,-0.315927,-0.0892702,-0.33513,-0.131083,0.00230123,-0.379162,-0.0593096,0.18844,1.27679,-0.16264,2.03122
-0.579385,-0.59024,-0.77391,-0.0877376,-0.207825,0.0674646,-0.325123,-0.0547399,-0.202644,-0.826193,-0.0940313,-0.352824,-0.171897,0.190749,-0.255906,0.276962,1.54346,0.279947,2.11131
-0.300607,-0.150235,-0.433989,-0.00550645,0.194133,-0.0962337,0.00431442,-0.147985,-0.29778,-0.346634,-0.0206093,-0.321559,-0.0456213,-0.543032,-0.0694469,-0.150296,1.20532,-0.252969,1.74467
-0.637111,-0.317901,-0.435573,-0.00569589,0.0177922,-0.13831,-0.115177,-0.270111,-0.651631,-0.510551,-0.00853656,-0.510617,-0.245582,0.000403241,0.456922,0.234765,1.05738,0.258057,1.82035
-0.247498,-0.425381,-0.661064,-0.22218,-0.0863143,0.134373,0.15996,-0.0338673,-0.493865,-0.45592,0.040507,-0.247173,0.110646,-0.329962,0.154443,0.0547424,1.3435,-0.240239,1.39696
-0.580797,-0.379019,-0.465617,-0.117146,0.202655,-0.205512,0.0567718,-0.082755,-0.110326,-0.251873,-0.00839419,-0.543977,-0.0406514,-0.196571,0.267641,0.15506,0.960435,-0.625688,1.96902
-0.36568,-0.0919473,-0.249262,0.308698,0.270465,0.177305,0.0816986,0.0394524,-0.233182,-0.435117,-0.271356,-0.801381,0.138254,-0.138931,-0.0467744,0.0764102,0.378056,-0.681084,1.85068
-0.223604,-0.624392,-0.32467,-0.0998971,0.209445,-0.0321158,0.00303229,0.0813027,-0.288855,-0.370672,-0.112321,-0.346346,0.0755466,-0.245516,0.0190386,0.218949,1.03536,-0.450808,1.51321
-0.240785,-0.237995,-0.351845,0.0366266,0.376082,0.0864039,-0.127522,0.0560454,-0.064036,-0.433033,-0.209928,-0.674719,0.0344424,-0.284742,0.123905,-0.338807,1.11491,-0.375481,1.51174
-0.467743,-0.53133,-0.459939,0.0509492,0.046424,-0.0344659,-0.0411789,-0.168075,-0.338662,-0.352641,0.0467668,-0.362576,-0.062482,-0.148186,0.701385,-0.283337,1.06984,-0.0579649,1.35361
-0.299906,-0.492185,-0.669674,-0.148017,-0.083225,-0.0275284,-0.398755,-0.169551,-0.353976,-0.756922,-0.0493261,-0.658438,0.116455,-0.327234,0.327385,-0.0281276,1.41405,-0.174335,2.68283
-0.588821,-0.739925,-0.567204,-0.58236,-0.000622811,-0.637896,-0.209369,-0.287019,-0.786104,-0.510585,-0.449308,-0.356532,-0.0612121,-0.0182837,0.766951,0.825938,1.87501,0.275838,2.05003
-0.737414,-0.359646,-0.63947,-0.13329,-0.10245,0.0391384,-0.18799,-0.0428912,-0.614555,-0.430137,0.00457825,-0.437407,-0.358076,0.0518746,0.458372,0.254661,1.29833,-0.28358,2.21035
-0.198193,-0.159106,-1.0171,-0.0229896,0.19353,0.0560914,-0.446268,-0.110757,-0.203232,-0.796329,-0.212822,-0.184356,-0.106367,-0.322742,0.216094,0.0113237,1.58322,-0.516763,2.25051
-0.490151,-0.203968,-0.340519,-0.0362596,0.067999,-0.13064,-0.269284,-0.19279,-0.42447,-0.163642,-0.340215,-0.0617087,0.189893,-0.69582,0.240147,0.489869,1.01942,-0.551581,1.8479
-0.661445,-0.416294,-0.373668,-0.0897207,0.148085,-0.127241,-0.0596906,-0.0864462,-0.365739,-0.530964,-0.237236,-0.464,-0.313014,-0.0878995,0.169349,0.546033,1.27504,-0.744505,2.35096
-0.120475,-0.388673,-0.0323171,-0.133789,0.493062,-0.019464,0.122849,0.215576,-0.658272,-0.689667,-0.112092,-0.553728,-0.207953,-0.464134,-0.0774885,0.145306,1.0319,0.18618,1.2474
-0.432188,-0.466234,-0.60132,0.0164836,0.199645,-0.184411,-0.191403,-0.0638539,-0.492117,-0.380723,-0.292479,-0.610617,-0.027753,-0.672694,-0.0301672,0.916343,1.4305,-0.138567,2.0725
-0.525024,-0.505992,-0.388527,-0.214133,-0.0348743,-0.0682529,0.0866078,-0.299175,-0.417265,-0.392409,-0.13046,-0.115059,0.0901581,-0.38092,-0.0855862,-0.0347623,1.43344,-0.0158156,1.92903
-0.769135,-0.304258,-0.621252,-0.212479,0.139822,0.0620016,0.0524811,-0.114951,-0.470207,-0.531167,0.192993,-0.349471,-0.145147,-0.0535163,0.197276,0.446978,0.913054,-0.5273,2.1392
-0.306029,-0.565344,-0.564651,0.105814,0.269838,0.0179824,0.0359269,-0.231425,0.0791175,-0.727589,-0.349814,-0.25357,-0.230237,0.1961,0.0620191,0.134996,1.37842,-0.404446,1.37161
-0.651538,-0.289481,-0.497974,0.0304665,0.0116832,-0.10027,-0.2124,-0.0466881,-0.209765,-0.599516,0.0153327,-0.330727,0.206912,-0.420192,0.725216,-0.369285,1.05402,-0.239172,1.89947
-0.472612,-0.486223,-0.596241,-0.399848,0.236221,0.13479,0.13409,-0.0878095,-0.279758,-0.140558,-0.0262681,-0.622988,0.152203,-0.198444,-0.297971,0.239087,1.48344,-0.899374,2.14774
-0.517335,-0.33294,-0.610184,-0.115939,0.284888,-0.0293564,-0.0736575,-0.273511,-0.327551,-0.701309,-0.280642,-0.409793,0.11803,-0.0559748,0.407705,0.357515,1.00548,-0.190443,1.72578
-0.512131,-0.172306,-0.534104,0.0640201,0.210694,0.144155,-0.132204,0.121901,-0.0331928,-0.260093,-0.306877,-0.249018,0.0479589,0.102414,-0.217593,0.26061,0.641037,-0.973188,1.7911
-0.30797,-0.634159,-0.502148,-0.0797758,-0.161463,-0.497046,-0.0802507,-0.174841,-0.410097,-0.695958,-0.2684,-0.386978,-0.136838,0.102805,-0.303434,0.398684,1.11584,0.4323,2.61012
-0.36333,-0.325822,-0.625113,0.0576056,0.0460167,0.048421,0.120949,-0.0727367,-0.266334,-0.708419,-0.299233,-0.238802,-0.144463,-0.213554,0.159538,0.430635,1.26262,-0.384785,1.47885
-0.392847,-0.616645,-0.775822,-0.387231,-0.00786436,-0.0625703,-0.0727759,-0.123383,-0.558644,-0.552233,-0.298961,-0.200083,-0.191124,0.122464,0.414663,-0.0625902,1.72244,0.361989,1.69853
-0.761186,-0.521046,-0.573835,-0.0379051,0.147355,0.0708863,-0.139748,0.114122,-0.50406,-0.412224,-0.133686,-0.241246,-0.333052,-0.070783,0.353073,0.071138,0.672728,-0.160673,2.43426
-0.0054327,-0.0414715,-0.441914,0.179126,-0.00272799,-0.00047998,0.123944,0.10928,0.0307265,-0.364399,0.0647758,-0.478133,0.123895,-0.400518,0.0968655,-0.469695,0.624925,-0.971506,1.76447
-0.537999,-0.532676,-0.47998,-0.0279028,0.129281,0.0277806,-0.111327,-0.143025,-0.528535,-0.492822,0.161599,-0.233073,0.0378397,-0.442272,0.149694,0.153592,1.11467,-0.149286,1.85212
-0.291275,-0.59967,-0.553695,-0.0097679,0.386012,0.126422,-0.124825,-0.212606,-0.0138877,-0.4801,-0.162087,-0.51343,0.0869705,0.20097,-0.0504665,-0.220326,0.999309,0.147793,1.27004
-0.3277,-0.189652,-0.367453,0.00539331,0.015245,-0.0398962,-0.310588,-0.121317,-0.147724,-0.520983,0.0970244,-0.739406,0.0189798,0.000797412,-0.178261,0.564493,1.02282,-0.032939,1.26854
-0.141579,-0.250582,-0.593562,-0.288707,-0.177351,0.0301308,-0.158454,0.126495,-0.299493,-0.714431,-0.380832,-0.290474,-0.0718981,0.0955967,0.0993183,0.295516,0.787487,0.401747,1.47632
