ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear1_2014,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear2_2014,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear3_2014,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013,ft1_gear4_2014,ft1_gear5_1996,ft1_gear5_1997,ft1_gear5_1998,ft1_gear5_1999,ft1_gear5_2000,ft1_gear5_2001,ft1_gear5_2002,ft1_gear5_2003,ft1_gear5_2004,ft1_gear5_2005,ft1_gear5_2006,ft1_gear5_2007,ft1_gear5_2008,ft1_gear5_2009,ft1_gear5_2010,ft1_gear5_2011,ft1_gear5_2012,ft1_gear5_2013,ft1_gear5_2014
0.0741209,0.0508626,0.0550105,0.0622265,0.0743904,0.128776,0.0830244,0.0780024,0.112739,0.28906,0.100414,0.0801571,0.0593399,0.0393115,0.0213644,0.055181,0.0670335,0.0924996,0.120771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0825877,0.0484601,0.056899,0.0613456,0.0747291,0.103431,0.0848288,0.081089,0.104957,0.239122,0.0741835,0.0610812,0.0498901,0.0322542,0.017332,0.0572103,0.0619384,0.0846465,0.115404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0837251,0.0609741,0.0647213,0.0766855,0.0919753,0.131836,0.0907529,0.0877036,0.120606,0.256574,0.0807447,0.0687766,0.0533485,0.0309917,0.017936,0.0477704,0.059519,0.0876187,0.11083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146865,0.0889414,0.0899903,0.100591,0.0964,0.177795,0.117316,0.113151,0.14311,0.36562,0.118136,0.117982,0.090148,0.0455186,0.026209,0.0771002,0.0858655,0.129121,0.179146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128918,0.0794847,0.0790816,0.0970414,0.0998215,0.152231,0.122606,0.116686,0.146184,0.356956,0.117466,0.100474,0.0713191,0.0448249,0.0251679,0.0844512,0.0864559,0.137873,0.174775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120776,0.0805374,0.076965,0.0995099,0.106321,0.15898,0.106719,0.106521,0.143734,0.317829,0.102649,0.0961229,0.0648779,0.0396977,0.0212872,0.0632348,0.0720229,0.110195,0.132159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153893,0.0962397,0.110046,0.117583,0.124105,0.187199,0.132461,0.114905,0.156207,0.337102,0.0987994,0.0885292,0.0692241,0.0405493,0.0230757,0.0724474,0.0809432,0.107838,0.148725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0998151,0.0613974,0.0666381,0.0759791,0.0766519,0.114061,0.0785729,0.0836937,0.102502,0.241095,0.077984,0.0607397,0.0449514,0.0282941,0.0144095,0.0419821,0.04749,0.0632313,0.0837169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.119647,0.0759603,0.0878281,0.0870267,0.100867,0.154536,0.1087,0.0977162,0.122357,0.302717,0.106364,0.0875861,0.0659479,0.0339697,0.0201175,0.0668551,0.0712595,0.104051,0.159284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128576,0.0837756,0.0789345,0.0824049,0.100521,0.168627,0.101435,0.100235,0.128996,0.272631,0.0974051,0.0810848,0.0607118,0.0356921,0.0204956,0.0550003,0.0624032,0.0822472,0.106885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127516,0.0884361,0.0996975,0.127415,0.137557,0.218578,0.137699,0.131198,0.158032,0.379969,0.108939,0.109086,0.079313,0.0453506,0.0241785,0.0775774,0.0857141,0.116354,0.152283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0585029,0.0398994,0.0413867,0.0474803,0.0546679,0.0840138,0.0587875,0.0628712,0.0746142,0.15748,0.0486773,0.0405221,0.0328563,0.0195868,0.0108215,0.0298464,0.0313386,0.0518622,0.0695441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
