sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
319.881,300.931,284.53,269.304,256.374,246.988,241.435,247.031,261.644,281.867,295.139,315.233,327.847,335.111,343.772,358.335,376.605,402.008,434.393,477.737
237.075,236.269,233.905,230.238,227.799,228.565,229.317,239.866,259.785,284.475,301.605,323.418,334.735,336.055,331.857,326.583,319.381,318.33,329.794,366.05
186.35,180.931,175.63,169.257,163.86,159.316,156.193,162.696,176.123,190.417,193.981,206.122,211.648,211.762,209.227,208.443,208.391,214.908,228.947,254.806
220.803,213.7,208.554,203.751,199.271,198.263,198.965,208.07,222.467,237.645,241.331,250.948,253.046,252.021,252.371,256.571,261.491,272.352,294.964,343.411
133.943,129.371,124.379,119.727,116.658,115.193,113.296,118.469,125.943,132.724,128.987,134.826,137.201,137.193,137.763,140.089,140.031,142.566,146.846,157.298
181.744,181.578,181.761,180.978,182.262,186.052,189.971,199.747,212.978,225.526,227.36,239.46,245.635,247.199,246.026,244.875,239.961,238.001,243.633,265.808
248.653,238.599,229.835,222.323,218.464,220.313,226.386,241.286,262.022,283.723,297.751,319.221,334.515,342.457,347.409,352.988,360.765,380.917,417.685,477.654
235.54,228.618,219.832,209.948,204.962,206.869,212.43,226.054,241.081,255.153,259.684,272.388,277.388,275.662,271.124,265.271,255.038,247.145,245.279,261.545
315.764,294.114,275.175,258.037,243.785,234.989,228.835,232.873,243.734,257.02,262.53,274.924,278.858,276.123,271.024,267.297,264.624,270.804,293.116,350.039
351.239,330.17,312.865,297.934,286.903,280.92,279.765,291.677,313.436,337.237,349.326,366.843,377.296,383.023,387.233,391.807,394.489,401.482,420.814,470.504
207.412,202.041,197.452,192.119,188.166,186.331,185.698,194.891,210.295,227.719,236.288,252.931,263.718,269.501,273.332,278.204,282.725,294.65,317.908,365.396
