ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
0.461217,0.948608,0.2911,0.226118,0.121882,0.0588235,1.47059, 486.958, 104.87, 64.1079, 18.9274, 1,0.124146,0.143862,0.139839,0.123603,189.771,9.53671,1.01941,9.66734,2.14888,9,0.5,8.79187,1.51568,9.13776,1.14108,145.844
0.513811,0.827366,0.307802,0.329639,0.170578,0.0588235,1.47059, 469.735, 123.003, 58.3693, 10.5204, 0.999973,0.131027,0.12198,0.116522,0.102889,235.12,9.07866,0.919499,11.315,2.4928,9,0.5,9.10865,1.48425,9.45199,1.24548,139.244
0.364889,0.896737,0.296431,0.31149,0.115059,0.0588235,1.47059, 367.766, 86.4968, 47.44, 16.3005, 1,0.0786498,0.150393,0.126375,0.10496,253.798,9.14835,0.90134,7.84089,1.58761,9,0.5,9.11783,1.64389,9.13479,1.19641,149.988
0.438493,0.901184,0.330349,0.384434,0.183706,0.0588235,1.47059, 332.324, 74.6797, 48.2126, 18.9058, 1,0.117265,0.132453,0.114179,0.102539,238.235,8.94792,0.913348,9.89967,1.99667,9,0.5,8.40886,1.25463,8.89025,1.11553,146.847
0.506753,0.941554,0.329963,0.408485,0.160008,0.0588235,1.47059, 385.268, 80.1735, 57.7369, 31.2882, 1,0.146429,0.114502,0.108294,0.0864876,234.491,9.57709,0.996477,12.1499,2.55257,9,0.5,9.17272,1.65569,8.92706,1.1272,148.816
0.460249,0.869759,0.304451,0.29807,0.104206,0.0588235,1.47059, 432.944, 108.612, 54.5452, 13.9128, 0.999999,0.186176,0.12727,0.131724,0.094851,240.238,9.91158,1.10127,12.6924,2.60327,9,0.5,9.45725,1.52372,9.00085,1.11816,148.378
0.761419,0.852504,0.339245,0.46735,0.273383,0.0588235,1.47059, 536.973, 131.976, 75.9567, 22.8862, 1,0.104976,0.110883,0.100417,0.0987413,259.106,9.40091,0.928699,10.4223,2.10964,9,0.5,8.87169,1.38384,9.5906,1.20795,145.186
1.2405,0.810082,0.364882,0.866537,0.348348,0.0588235,1.47059, 715.031, 185.125, 104.307, 37.5662, 1,0.121022,0.0737603,0.0746522,0.0629954,433.927,9.94014,0.944079,13.3165,2.68571,9,0.5,9.14324,1.40356,9.22006,1.0779,156.664
0.429153,0.971574,0.314062,0.381839,0.134744,0.0588235,1.47059, 372.151, 71.9592, 55.0177, 39.914, 1,0.100696,0.122674,0.10333,0.0937016,312.762,9.48142,0.941765,9.83423,2.00317,9,0.5,8.74425,1.3784,9.27083,1.16009,146.368
1.78229,0.776332,0.368887,1.12014,0.590915,0.0588235,1.47059, 996.187, 270.313, 141.018, 20.7605, 1,0.0727947,0.0637888,0.0653262,0.0574682,557.982,9.56737,0.957539,10.5862,1.81969,9,0.5,9.00598,1.37638,9.27116,1.09108,159.539
0.819051,0.967655,0.339243,0.551644,0.221209,0.0588235,1.47059, 577.63, 107.618, 93.6287, 51.4016, 1,0.122357,0.111001,0.0904986,0.0745944,354.435,9.12368,0.871763,11.3282,2.18883,9,0.5,8.64003,1.28265,8.73593,1.03,151.552
0.618766,0.896019,0.330313,0.50049,0.196327,0.0588235,1.47059, 469.089, 106.811, 67.8361, 32.907, 1,0.15256,0.116509,0.0891666,0.0762765,311.804,9.45393,0.903005,12.6127,2.43125,9,0.5,9.00048,1.51826,9.10646,1.13447,142.036
0.755299,0.730526,0.290975,0.335029,0.086379,0.0588235,1.47059, 798.326, 240.723, 84.0072, 6.29837, 0.998161,0.110384,0.134826,0.0931322,0.0863721,307.519,9.38418,0.939849,10.3918,2.22424,9,0.5,8.37011,1.29717,9.01241,1.13697,147.554
1.00758,0.81974,0.356941,0.728424,0.362557,0.0588235,1.47059, 617.671, 157.721, 89.363, 32.5379, 1,0.0804614,0.0921255,0.105162,0.080576,434.393,9.61219,0.901424,9.55242,1.75791,9,0.5,9.45967,1.39118,9.22418,1.03988,144.151
0.515175,0.910566,0.326474,0.491675,0.191719,0.0588235,1.47059, 403.019, 89.401, 58.4005, 32.2098, 1,0.0972227,0.107942,0.109875,0.0645746,329.794,9.41793,0.910206,10.8534,2.25513,9,0.5,9.99264,1.61287,8.63572,1.02243,147.752
0.403278,0.82953,0.303389,0.292422,0.110733,0.0588235,1.47059, 382.813, 100.424, 47.0199, 11.8962, 0.999993,0.279239,0.137943,0.111779,0.110174,228.947,9.233,0.918256,14.2295,2.7989,9,0.5,8.32311,1.32904,9.07252,1.06235,154.283
0.608081,0.906692,0.310263,0.423,0.140689,0.0588235,1.47059, 544.454, 124.814, 73.9141, 21.0389, 1,0.151652,0.113746,0.0876763,0.0772181,294.964,9.43958,0.959741,12.8245,2.90737,9,0.5,8.15298,1.28299,8.58997,1.04962,139.774
0.28284,0.935792,0.271771,0.154303,0.059054,0.0588235,1.47059, 354.893, 80.2338, 43.0479, 11.6455, 0.999991,0.17588,0.188504,0.17003,0.163299,146.846,9.29846,1.00877,10.2353,2.31641,9,0.5,8.6023,1.49221,9.2873,1.17607,148.365
0.550185,0.905969,0.290549,0.305447,0.105373,0.0588235,1.47059, 583.705, 135.178, 74.8362, 19.9405, 1,0.104802,0.13051,0.0805061,0.0887567,243.633,9.17871,0.863488,10.6722,2.62955,9,0.5,7.71468,1.29025,9.15719,1.18557,156.624
0.605989,0.850996,0.321739,0.592928,0.229583,0.0588235,1.47059, 492.928, 122.953, 66.0713, 20.2199, 1,0.0883701,0.1059,0.0710909,0.0614719,417.685,9.30626,0.892348,10.0513,1.80447,9,0.5,8.24074,1.19098,8.59506,0.990763,152.054
